country,year,fdi_inward,fdi_outward,fdi_net
Philippines,1990,550,22,528
Philippines,1991,556,27,529
Philippines,1992,776,101,675
Philippines,1993,1238,374,864
Philippines,1994,1591,302,1289
Philippines,1995,1459,98,1361
Philippines,1996,1520,182,1338
Philippines,1997,1249,136,1113
Philippines,1998,1752,160,1592
Philippines,1999,1247,133,1114
Philippines,2000,2240,125,2115
Philippines,2001,195,-140,335
Philippines,2002,1542,65,1477
Philippines,2003,491,303,188
Philippines,2004,688,579,109
Philippines,2005,1851,981,870
Philippines,2006,2929,1290,1639
Philippines,2007,2824,5278,-2454
Philippines,2008,1544,2174,-630
Philippines,2009,1990,1823,167
Philippines,2010,1070,2712,-1642
Philippines,2011,2007,2350,-343
Philippines,2012,3215,4173,-958
Philippines,2013,3737,3647,90
Philippines,2014,5740,6754,-1014
Philippines,2015,4447,4347,100
Philippines,2016,6915,1032,5883
Philippines,2017,8704,1752,6952
Philippines,2018,6602,770,5832
Philippines,2019,6020,700,5320
Philippines,2020,3254,-6,3260
Philippines,2021,10225,493,9732
Philippines,2022,5939,308,5631
Philippines,2023,6452,1052,5400
Thailand,1990,2575,154,2421
Thailand,1991,2049,183,1866
Thailand,1992,2151,146,2005
Thailand,1993,1807,234,1573
Thailand,1994,1369,494,875
Thailand,1995,2070,887,1183
Thailand,1996,2338,932,1406
Thailand,1997,3882,584,3298
Thailand,1998,7492,132,7360
Thailand,1999,6106,342,5764
Thailand,2000,3410,-20,3430
Thailand,2001,5073,427,4646
Thailand,2002,3355,171,3184
Thailand,2003,5222,615,4607
Thailand,2004,5859,72,5787
Thailand,2005,8216,551,7665
Thailand,2006,8917,1041,7876
Thailand,2007,9195,2108,7087
Thailand,2008,8054,1832,6222
Thailand,2009,5362,4947,415
Thailand,2010,14555,7940,6615
Thailand,2011,1370,6072,-4702
Thailand,2012,9135,10497,-1362
Thailand,2013,15493,11679,3814
Thailand,2014,4809,5575,-766
Thailand,2015,5624,1687,3937
Thailand,2016,2491,12398,-9907
Thailand,2017,7875,13772,-5897
Thailand,2018,11705,15085,-3380
Thailand,2019,3781,8410,-4629
Thailand,2020,-5630,17270,-22900
Thailand,2021,14648,18668,-4020
Thailand,2022,11705,7656,4049
Thailand,2023,8053,15213,-7160
Vietnam,1990,180,0,180
Vietnam,1991,375,0,375
Vietnam,1992,474,0,474
Vietnam,1993,926,0,926
Vietnam,1994,1945,0,1945
Vietnam,1995,1780,0,1780
Vietnam,1996,2395,0,2395
Vietnam,1997,2220,0,2220
Vietnam,1998,1671,0,1671
Vietnam,1999,1412,0,1412
Vietnam,2000,1289,0,1289
Vietnam,2001,1300,0,1300
Vietnam,2002,1400,0,1400
Vietnam,2003,1450,0,1450
Vietnam,2004,1610,0,1610
Vietnam,2005,1954,65,1889
Vietnam,2006,2400,85,2315
Vietnam,2007,6981,184,6797
Vietnam,2008,9579,300,9279
Vietnam,2009,7600,700,6900
Vietnam,2010,8000,900,7100
Vietnam,2011,7519,950,6569
Vietnam,2012,8368,1200,7168
Vietnam,2013,8900,1956,6944
Vietnam,2014,9200,1150,8050
Vietnam,2015,11800,1100,10700
Vietnam,2016,12600,1000,11600
Vietnam,2017,14100,480,13620
Vietnam,2018,15500,598,14902
Vietnam,2019,16120,465,15655
Vietnam,2020,15800,380,15420
Vietnam,2021,15660,358,15302
Vietnam,2022,17900,2674,15226
Vietnam,2023,18500,-950,19450
